Sample.name,Sample_ID,nm,FF,Freezing.temperature,Particle.ratio,nM_corrected,Control,Filtered,Dilution.factor,Location,Size,Sample
Milliq_S2_b5,Milliq_S2_b5,1070.86,0.55,-24.94,1.0,1070.86,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2308.18,0.82,-27.0,1.0,2308.18,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,86.05,0.06,-17.48,1.0,86.05,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,28.07,0.02,-15.04,1.0,28.07,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,210.17,0.15,-20.3,1.0,210.17,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,226.53,0.16,-20.39,1.0,226.53,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1345.33,0.64,-25.52,1.0,1345.33,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2159.88,0.8,-26.52,1.0,2159.88,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2091.49,0.79,-26.52,1.0,2091.49,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2475.06,0.84,-27.26,1.0,2475.06,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,817.47,0.46,-24.2,1.0,817.47,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1848.39,0.75,-26.09,1.0,1848.39,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2567.05,0.85,-27.63,1.0,2567.05,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,924.2,0.5,-24.45,1.0,924.2,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,540.62,0.33,-22.79,1.0,540.62,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,311.49,0.21,-21.43,1.0,311.49,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2231.97,0.81,-26.75,1.0,2231.97,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2026.43,0.78,-26.34,1.0,2026.43,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1793.96,0.74,-26.08,1.0,1793.96,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1201.05,0.59,-25.04,1.0,1201.05,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,4237.41,0.96,-29.47,1.0,4237.41,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,365.18,0.24,-21.55,1.0,365.18,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1134.37,0.57,-24.96,1.0,1134.37,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2772.59,0.88,-27.74,1.0,2772.59,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,896.7,0.49,-24.44,1.0,896.7,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,259.87,0.18,-20.91,1.0,259.87,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,383.58,0.25,-21.59,1.0,383.58,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,952.27,0.51,-24.47,1.0,952.27,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,402.22,0.26,-21.72,1.0,402.22,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,116.02,0.08,-18.49,1.0,116.02,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,695.06,0.41,-23.77,1.0,695.06,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1383.98,0.65,-25.55,1.0,1383.98,Yes,Yes,1.0,Site2,b_5_m,S2
